"","ridageyr","dmdeduc2","INDFMPIR","riagendr_1","race_1","race_2","race_3","race_4"
"2",4.47213595499958,1.4142135623731,0.223606797749979,1,1,0,0,0
"3",3.16227766016838,1.4142135623731,0.948683298050514,1,0,1,0,0
"5",4.12310562561766,0,0.98488578017961,0,0,0,1,0
"6",4.47213595499958,1.73205080756888,1.90787840283389,1,0,0,1,0
"7",3.87298334620742,0,1.03440804327886,1,1,0,0,0
"8",1,1.73205080756888,2.23606797749979,1,0,0,0,1
"9",2.23606797749979,1.4142135623731,0.932737905308881,1,1,0,0,0
"10",4.47213595499958,0,1.27671453348037,1,1,0,0,0
"11",1,1.73205080756888,0.932737905308881,1,0,1,0,0
"12",4.12310562561766,1,1.64924225024706,1,1,0,0,0
"13",2,2,1.33790881602597,1,1,0,0,0
"14",3.46410161513775,1.73205080756888,1.58429795177549,0,1,0,0,0
"16",2,2,1.552417469626,0,1,0,0,0
"18",3.3166247903554,1,1.03440804327886,1,0,0,0,1
"19",3,1,0.888819441731559,0,0,0,1,0
"20",4,1.4142135623731,1.27279220613579,0,1,0,0,0
"21",1,1.4142135623731,1.09544511501033,1,0,1,0,0
"22",4.24264068711928,1.4142135623731,1.62480768092719,0,1,0,0,0
"23",1.73205080756888,0,1.36014705087354,0,0,0,1,0
"24",1,1.4142135623731,1.15325625946708,1,0,1,0,0
"27",0,1.73205080756888,0.479583152331272,0,0,0,1,0
"29",3.3166247903554,1.4142135623731,1.1,0,1,0,0,0
"30",4.47213595499958,2,2.23606797749979,1,1,0,0,0
"32",4.24264068711928,1,1.113552872566,0,1,0,0,0
"33",2.82842712474619,0,2.15870331449229,0,0,0,1,0
"34",3,1.4142135623731,1.05830052442584,0,1,0,0,0
"37",2.23606797749979,1.73205080756888,1.26491106406735,1,1,0,0,0
"38",4.47213595499958,0,1.40712472794703,1,1,0,0,0
"39",4.47213595499958,1.4142135623731,0.806225774829855,1,1,0,0,0
"40",3.46410161513775,1.73205080756888,2.23606797749979,0,1,0,0,0
"41",1,1.4142135623731,2.23606797749979,0,0,1,0,0
"42",3.87298334620742,1.73205080756888,2.23606797749979,1,1,0,0,0
"43",2.82842712474619,0,0.556776436283002,1,0,0,1,0
"44",2,1.73205080756888,1.14891252930761,0,0,0,1,0
"45",3,2,2.23606797749979,1,0,1,0,0
"46",2.23606797749979,2,1.46628782986152,1,1,0,0,0
"48",1,1.4142135623731,2.23606797749979,0,0,0,0,1
"49",0,2,1.16619037896906,0,1,0,0,0
"50",4.47213595499958,1.4142135623731,1.62480768092719,0,1,0,0,0
"54",0,1,0.959166304662544,1,0,1,0,0
"58",3.3166247903554,1.73205080756888,1.42828568570857,0,1,0,0,0
"59",4.24264068711928,1.73205080756888,1.03923048454133,1,0,0,1,0
"60",4.47213595499958,1.4142135623731,0.989949493661167,0,0,1,0,0
"61",3.16227766016838,1.4142135623731,1.42126704035519,1,1,0,0,0
"62",3.60555127546399,1.73205080756888,1.03440804327886,1,1,0,0,0
"63",3.87298334620742,1.73205080756888,1.37477270848675,0,1,0,0,0
"64",3.46410161513775,2,1.70880074906351,0,1,0,0,0
"65",0,1,1,0,0,1,0,0
"66",2.23606797749979,1.4142135623731,2.23606797749979,1,0,1,0,0
"67",4.47213595499958,1.73205080756888,2.14242852856286,0,1,0,0,0
"68",3.60555127546399,1.4142135623731,1.1916375287813,0,1,0,0,0
"71",0,1.73205080756888,2.23606797749979,0,0,0,1,0
"72",2.82842712474619,1,1.11803398874989,0,1,0,0,0
"74",2.82842712474619,1,1.74928556845359,1,1,0,0,0
"75",1,1.73205080756888,1.33790881602597,1,0,1,0,0
"76",4.47213595499958,0,2.18174242292714,0,0,0,0,1
"78",3.3166247903554,0,1.36014705087354,1,0,1,0,0
"79",2.82842712474619,1.4142135623731,1.51657508881031,1,1,0,0,0
"80",2,2,1.8165902124585,1,1,0,0,0
"81",2.64575131106459,1.73205080756888,1.34164078649987,0,0,1,0,0
"82",2.82842712474619,1.4142135623731,2.22710574513201,1,0,0,0,1
"83",1.4142135623731,1.4142135623731,0.92736184954957,0,1,0,0,0
"85",4.47213595499958,1.4142135623731,1.26095202129185,1,0,0,0,1
"86",1.73205080756888,1.73205080756888,1.58429795177549,1,0,1,0,0
"87",3.74165738677394,0,2.15870331449229,1,0,0,1,0
"89",3.74165738677394,2,1.57797338380595,1,1,0,0,0
"90",3.16227766016838,0,1.30384048104053,1,0,0,1,0
"91",3.3166247903554,1,1.27671453348037,0,0,1,0,0
"92",2.82842712474619,1.4142135623731,1.40356688476182,1,0,0,1,0
"93",3.46410161513775,1.4142135623731,2.23606797749979,1,1,0,0,0
"94",3,2,2.23606797749979,1,1,0,0,0
"95",2.64575131106459,2,2.03715487874634,1,1,0,0,0
"96",3.3166247903554,1.73205080756888,1.0770329614269,1,1,0,0,0
"97",3.46410161513775,1,1.30384048104053,1,0,1,0,0
"98",2.44948974278318,2,1.86547581061776,0,0,0,0,1
"99",4.47213595499958,1.4142135623731,1.37113092008021,0,1,0,0,0
"100",3.74165738677394,1.73205080756888,1.9157244060668,0,1,0,0,0
"101",2,2,1.2328828005938,0,1,0,0,0
"102",4.47213595499958,1.73205080756888,1.51986841535707,0,1,0,0,0
"103",1.4142135623731,1.4142135623731,0.447213595499958,0,0,1,0,0
"105",2.82842712474619,1.4142135623731,1.64012194668567,0,0,1,0,0
"106",2,2,2.23606797749979,0,0,0,0,1
"107",4.35889894354067,0,0.953939201416946,0,0,1,0,0
"108",1.73205080756888,1.73205080756888,2.23606797749979,1,1,0,0,0
"110",0,1,1.48323969741913,0,1,0,0,0
"112",1.4142135623731,2,2.08326666559997,1,0,1,0,0
"113",3.46410161513775,1.4142135623731,2.2248595461287,0,1,0,0,0
"114",2.82842712474619,1.73205080756888,1.06301458127346,0,1,0,0,0
"115",2.44948974278318,1.4142135623731,1.0770329614269,0,1,0,0,0
"116",2.82842712474619,2,1.64924225024706,1,0,0,0,1
"117",4.35889894354067,1.4142135623731,1.99248588451713,1,1,0,0,0
"118",0,1.73205080756888,0.974679434480896,1,1,0,0,0
"119",0,2,0.670820393249937,0,0,1,0,0
"121",2.23606797749979,2,2.18174242292714,1,1,0,0,0
"122",2.23606797749979,2,2.23606797749979,1,0,0,0,1
"123",2.23606797749979,1.73205080756888,1.62480768092719,1,0,0,0,1
"124",2.23606797749979,1.73205080756888,0.932737905308881,0,0,0,1,0
"128",1,0,1.03440804327886,1,0,1,0,0
"129",3.16227766016838,0,0.8,0,0,0,1,0
"130",1.4142135623731,1.4142135623731,1.58429795177549,1,0,0,0,1
"131",3.3166247903554,1.73205080756888,1.89208879284245,0,1,0,0,0
"133",3.16227766016838,2,2.11660104885167,1,1,0,0,0
"134",4.47213595499958,1.73205080756888,1.6062378404209,1,1,0,0,0
"136",2.44948974278318,0,1.04880884817015,0,0,0,1,0
"137",2.44948974278318,0,1.30384048104053,0,0,0,0,1
"138",4.47213595499958,1.73205080756888,2.19317121994613,0,0,0,0,1
"139",2.44948974278318,1.4142135623731,0.830662386291807,0,0,0,1,0
"140",3.16227766016838,0,1.10453610171873,1,0,0,0,1
"141",1.4142135623731,2,0,0,0,0,0,1
"142",3.16227766016838,1.73205080756888,1.84390889145858,0,1,0,0,0
"143",1,1.4142135623731,1.34536240470737,0,1,0,0,0
"144",2.82842712474619,0,1.08627804912002,0,0,0,1,0
"145",0,1.4142135623731,1.9824227601599,1,0,1,0,0
"147",4.47213595499958,1,1.30384048104053,1,1,0,0,0
"148",0,1.73205080756888,1.0816653826392,0,0,1,0,0
"150",4.47213595499958,2,1.24899959967968,1,0,1,0,0
"151",4.47213595499958,1,0.948683298050514,0,1,0,0,0
"152",1.4142135623731,2,1.15758369027902,1,0,1,0,0
"153",1.4142135623731,1.73205080756888,2.23606797749979,0,0,1,0,0
"155",4.47213595499958,1.4142135623731,1.04880884817015,1,0,0,1,0
"156",3.87298334620742,1,2.23606797749979,1,1,0,0,0
"157",2.64575131106459,2,2.14242852856286,1,1,0,0,0
"158",3.46410161513775,1,1.30384048104053,0,0,0,1,0
"160",3.46410161513775,1.4142135623731,1.05830052442584,0,1,0,0,0
"162",2.44948974278318,1.4142135623731,2.23606797749979,1,0,1,0,0
